,PMCID,Class_mean
0,['8267673'],Relevant
1,['6804068'],Relevant
2,['5882019'],Relevant
3,['8224320'],Relevant
4,['4159373'],Relevant
5,['6963833'],Relevant
6,['8161019'],Relevant
7,['8143475'],Relevant
8,['3350403'],Relevant
9,['8157006'],Relevant
10,['5485445'],Relevant
11,['7864038'],Relevant
12,['4613276'],Relevant
13,['6109786'],Relevant
14,['7601869'],Relevant
15,['3785399'],Relevant
16,['8003822'],Relevant
17,['5388794'],Relevant
18,['8407205'],Relevant
19,['7356343'],Relevant
20,['4307249'],Relevant
21,['7642979'],Relevant
22,['6627412'],Relevant
23,['6429336'],Relevant
24,['2847706'],Relevant
25,['4790337'],Relevant
26,['4450548'],Relevant
27,['8300728'],Relevant
28,['6955786'],Relevant
29,['3324550'],Relevant
30,['6475552'],Relevant
31,['4453527'],Relevant
32,['6604941'],Relevant
33,['6524306'],Relevant
34,['5374388'],Relevant
35,['7559545'],Relevant
36,['3369580'],Relevant
37,['3594987'],Relevant
38,['7459860'],Relevant
39,['7464533'],Relevant
40,['5869247'],Relevant
41,['6027282'],Relevant
42,['3153021'],Relevant
43,['5071768'],Relevant
44,['4036669'],Relevant
45,['3894933'],Relevant
46,['7712907'],Relevant
47,['8240046'],Relevant
48,['7129476'],Relevant
49,['5760710'],Relevant
50,['7122190'],Relevant
51,['6273383'],Relevant
52,['6784204'],Relevant
53,['7139321'],Relevant
54,['7460298'],Relevant
55,['7460088'],Relevant
56,['4152304'],Relevant
57,['7223789'],Relevant
58,['7559539'],Relevant
59,['4048454'],Relevant
60,['5400081'],Relevant
61,['4790382'],Relevant
62,['4239024'],Relevant
63,['3602546'],Relevant
64,['6473725'],Relevant
65,['6283892'],Relevant
66,['4318422'],Relevant
67,['3653125'],Relevant
68,['3899262'],Relevant
69,['7600791'],Relevant
70,['3109405'],Relevant
71,['3675766'],Relevant
72,['3654619'],Relevant
73,['8388883'],Relevant
74,['8389044'],Relevant
75,['5224809'],Relevant
76,['3109427'],Relevant
77,['8347278'],Relevant
78,['3537567'],Relevant
79,['3707206'],Relevant
80,['8398527'],Relevant
81,['4810414'],Relevant
82,['6047195'],Relevant
83,['6693128'],Relevant
84,['7822488'],Relevant
85,['5038272'],Relevant
86,['7870489'],Relevant
87,['4384835'],Relevant
88,['4538407'],Relevant
89,['5958200'],Relevant
90,['5438997'],Relevant
91,['8471342'],Relevant
92,['8488069'],Relevant
93,['3799537'],Relevant
94,['7916415'],Relevant
95,['4790301'],Relevant
96,['5985334'],Relevant
97,['7129790'],Relevant
98,['3711981'],Relevant
99,['5745468'],Relevant
100,['6337270'],Relevant
101,['6425178'],Relevant
102,['7749508'],Relevant
103,['8498797'],Relevant
104,['8003687'],Relevant
105,['3714544'],Relevant
106,['7672122'],Relevant
107,['6050338'],Relevant
108,['5225160'],Relevant
109,['3816664'],Relevant
110,['7129906'],Relevant
111,['4790303'],Relevant
112,['5295033'],Relevant
113,['6928725'],Relevant
114,['3846448'],Relevant
115,['7539235'],Relevant
116,['4525730'],Relevant
117,['4992970'],Relevant
118,['7524338'],Relevant
119,['8388863'],Relevant
120,['6359160'],Relevant
121,['6769999'],Relevant
122,['5073890'],Relevant
123,['8437966'],Relevant
124,['5890747'],Relevant
125,['3125207'],Relevant
126,['3418265'],Relevant
127,['4790336'],Relevant
128,['8066302'],Relevant
129,['6183139'],Relevant
130,['6465202'],Relevant
131,['6042109'],Relevant
132,['4790292'],Relevant
133,['7108308'],Relevant
134,['4692294'],Relevant
135,['4975914'],Relevant
136,['8181582'],Relevant
137,['7180472'],Relevant
138,['5313234'],Relevant
139,['8402041'],Relevant
140,['6103681'],Relevant
141,['5365698'],Relevant
142,['6272253'],Relevant
143,['4373940'],Relevant
144,['5155152'],Relevant
145,['8037709'],Relevant
146,['5900547'],Relevant
147,['8156375'],Relevant
148,['3639378'],Relevant
149,['5039524'],Relevant
150,['7504675'],Relevant
151,['6611046'],Relevant
152,['5029519'],Relevant
153,['3655929'],Relevant
154,['8227053'],Relevant
155,['6805589'],Relevant
156,['3364876'],Relevant
157,['7918784'],Relevant
158,['3917905'],Relevant
159,['7400126'],Relevant
160,['6853642'],Relevant
161,['8388928'],Relevant
162,['5125667'],Relevant
163,['7281669'],Relevant
164,['5350466'],Relevant
165,['3943966'],Relevant
166,['7946387'],Relevant
167,['8165386'],Relevant
168,['3180280'],Relevant
169,['4287177'],Relevant
170,['4831151'],Relevant
171,['3531085'],Relevant
172,['4551226'],Relevant
173,['3170882'],Relevant
174,['8277102'],Relevant
175,['8291769'],Relevant
176,['7126926'],Relevant
177,['7355832'],Relevant
178,['5531557'],Relevant
179,['4567591'],Relevant
180,['8125338'],Relevant
181,['7157823'],Relevant
182,['3334601'],Relevant
183,['6563732'],Relevant
184,['7909756'],Relevant
185,['3356367'],Relevant
186,['4210621'],Relevant
187,['8147684'],Relevant
188,['8347454'],Relevant
189,['5112248'],Relevant
190,['4172600'],Relevant
191,['5547695'],Relevant
192,['5882110'],Relevant
193,['7307902'],Relevant
194,['6188119'],Relevant
195,['6928860'],Relevant
196,['3567504'],Relevant
197,['8307371'],Relevant
198,['1790958'],Relevant
199,['4184692'],Relevant
200,['8388893'],Relevant
201,['4906388'],Relevant
202,['3554770'],Relevant
203,['5039486'],Relevant
204,['4947986'],Relevant
205,['3491833'],Relevant
206,['3775442'],Relevant
207,['7232296'],Relevant
208,['7285073'],Relevant
209,['8300701'],Relevant
210,['6044581'],Relevant
211,['3212830'],Relevant
212,['7232470'],Relevant
213,['4814472'],Relevant
214,['3690338'],Relevant
215,['5472815'],Relevant
216,['1557404'],Relevant
217,['3617545'],Relevant
218,['7241451'],Relevant
219,['4347946'],Relevant
220,['8334188'],Relevant
221,['4184040'],Relevant
222,['5587131'],Relevant
223,['2857357'],Relevant
224,['3202223'],Relevant
225,['6470534'],Relevant
226,['8326336'],Relevant
227,['7713254'],Relevant
228,['3422287'],Relevant
229,['6009856'],Relevant
230,['8067816'],Relevant
231,['3266646'],Relevant
232,['6053191'],Relevant
233,['5435765'],Relevant
234,['5577590'],Relevant
235,['8346141'],Relevant
236,['8300758'],Relevant
237,['7144564'],Relevant
238,['6510447'],Relevant
239,['4902038'],Relevant
240,['7080799'],Relevant
241,['8407411'],Relevant
242,['1468414'],Relevant
243,['7168261'],Relevant
244,['5085632'],Relevant
245,['6627628'],Relevant
246,['7356002'],Relevant
247,['8465540'],Relevant
248,['7848172'],Relevant
249,['7827689'],Relevant
250,['5425656'],Relevant
251,['7038271'],Relevant
252,['6526944'],Relevant
253,['2643945'],Relevant
254,['8305994'],Relevant
255,['6325200'],Relevant
256,['8069840'],Relevant
257,['8076188'],Relevant
258,['8229628'],Relevant
259,['4652758'],Relevant
260,['5427689'],Relevant
261,['4312571'],Relevant
262,['5053965'],Relevant
263,['6963729'],Relevant
264,['2686595'],Relevant
265,['3711980'],Relevant
266,['6722960'],Relevant
